'登録番号','農薬の種類','農薬の名称','登録を有する者の名称','有効成分','総使用回数における有効成分','濃度','混合数','用途','剤型名','登録年月日'
9410,'展着剤','アルソープ30','住友化学株式会社','ポリオキシエチレンノニルフェニルエーテル',NULL,'30.0%',1,'その他','その他','1968/11/15'
9512,'トリフルラリン粒剤','トレファノサイド粒剤2.5','日産化学株式会社','トリフルラリン','トリフルラリン','2.5%',1,'除草剤','粒剤','1968/12/10'
9525,'展着剤','クミアイクミテン','クミアイ化学工業株式会社','ポリオキシエチレンノニルフェニルエーテル',NULL,'20.0%',1,'その他','その他','1968/12/10'
9525,'展着剤','クミアイクミテン','クミアイ化学工業株式会社','ポリナフチルメタンスルホン酸ナトリウム',NULL,'6.0%',1,'その他','その他','1968/12/10'
9576,'MEP乳剤','クミアイスミチオン乳剤','クミアイ化学工業株式会社','MEP','MEP','50.0%',1,'殺虫剤','乳剤','1968/12/25'
9625,'DBEDC乳剤','サンヨール','米澤化学株式会社','DBEDC','DBEDC','20.0%',1,'殺菌剤','乳剤','1969/2/17'
9783,'マシン油乳剤','トモノールS','OATアグリオ株式会社','マシン油','マシン油','97.0%',1,'殺虫剤','乳剤','1969/3/12'
9795,'クロルピクリンくん蒸剤','三井東圧クロールピクリン','三井化学クロップ&ライフソリューション株式会社','クロルピクリン','クロルピクリン','99.5%',1,'殺虫剤','くん蒸剤','1969/3/12'
9898,'テトラピオン液剤','フレノック液剤30','三井化学クロップ&ライフソリューション株式会社','テトラピオン','テトラピオン','30.0%',1,'除草剤','液剤','1969/5/1'
9946,'展着剤','レナテン','北興化学工業株式会社','ポリオキシエチレンドデシルエーテル',NULL,'78.0%',1,'その他','その他','1969/5/22'
9975,'レナシル・PAC水和剤','ホクコーレナパック水和剤','北興化学工業株式会社','レナシル','レナシル','40.0%',2,'除草剤','水和剤','1969/5/22'
9975,'レナシル・PAC水和剤','ホクコーレナパック水和剤','北興化学工業株式会社','PAC','PAC','30.0%',2,'除草剤','水和剤','1969/5/22'
9979,'レナシル・PAC水和剤','レナパック水和剤','丸和バイオケミカル株式会社','レナシル','レナシル','40.0%',2,'除草剤','水和剤','1969/6/10'
9979,'レナシル・PAC水和剤','レナパック水和剤','丸和バイオケミカル株式会社','PAC','PAC','30.0%',2,'除草剤','水和剤','1969/6/10'
10240,'カスガマイシン水溶剤','カスミンA水和剤','北興化学工業株式会社','カスガマイシン','カスガマイシン','22.9%',1,'殺菌剤','水溶剤','1969/7/28'
10325,'メチルオイゲノール剤','サンケイメチルオイゲノール','サンケイ化学株式会社','メチルオイゲノール',NULL,'80.0%',1,'その他','その他','1969/8/26'
10331,'ヒドロキシイソキサゾール液剤','タチガレン液剤','三井化学クロップ&ライフソリューション株式会社','ヒドロキシイソキサゾールカリウム','ヒドロキシイソキサゾール','41.52%',1,'殺菌剤','液剤','1969/8/26'
10332,'ヒドロキシイソキサゾール液剤','タチガレン液剤','ホクサン株式会社','ヒドロキシイソキサゾールカリウム','ヒドロキシイソキサゾール','41.52%',1,'殺菌剤','液剤','1969/8/26'
10342,'チウラム水和剤','アンレス','日本曹達株式会社','チウラム','チウラム','80.0%',1,'その他','水和剤','1969/9/25'
10438,'ダイアジノン粒剤','ダイアジノン粒剤5','日本化薬株式会社','ダイアジノン','ダイアジノン','5.0%',1,'殺虫剤','粒剤','1969/9/25'
10529,'キャプタン水和剤','ホクコーオーソサイド水和剤80','北興化学工業株式会社','キャプタン','キャプタン','80.0%',1,'殺菌剤','水和剤','1969/11/20'
10557,'マンネブ水和剤','エムダイファー水和剤','クミアイ化学工業株式会社','マンネブ','マンネブ','75.0%',1,'殺菌剤','水和剤','1969/12/13'
10559,'マンネブ水和剤','サンケイエムダイファー水和剤','サンケイ化学株式会社','マンネブ','マンネブ','75.0%',1,'殺菌剤','水和剤','1969/12/13'
10601,'マシン油乳剤','日農スプレーオイル','日本農薬株式会社','マシン油','マシン油','97.0%',1,'殺虫剤','乳剤','1969/12/24'
10760,'ヒドロキシイソキサゾール粉剤','タチガレン粉剤','三井化学クロップ&ライフソリューション株式会社','ヒドロキシイソキサゾール','ヒドロキシイソキサゾール','4.0%',1,'殺菌剤','粉剤','1970/3/7'
10763,'ヒドロキシイソキサゾール粉剤','タチガレン粉衣剤','三井化学クロップ&ライフソリューション株式会社','ヒドロキシイソキサゾール','ヒドロキシイソキサゾール','70.0%',1,'殺菌剤','粉剤','1970/3/7'
10766,'TPN粉剤','ダコニール粉剤','クミアイ化学工業株式会社','TPN','TPN','4.0%',1,'殺菌剤','粉剤','1970/3/7'
10777,'アラクロール乳剤','日農ラッソー乳剤','日本農薬株式会社','アラクロール','アラクロール','43.0%',1,'除草剤','乳剤','1970/3/7'
10778,'アラクロール乳剤','日産ラッソー乳剤','日産化学株式会社','アラクロール','アラクロール','43.0%',1,'除草剤','乳剤','1970/3/7'
10783,'テトラピオン粒剤','フレノック粒剤10','三井化学クロップ&ライフソリューション株式会社','テトラピオン','テトラピオン','10.0%',1,'除草剤','粒剤','1970/3/10'
10791,'ダイアジノン粒剤','クミアイダイアジノン粒剤5','クミアイ化学工業株式会社','ダイアジノン','ダイアジノン','5.0%',1,'殺虫剤','粒剤','1970/3/31'
10919,'ダイアジノン乳剤','サンケイダイアジノン乳剤40','サンケイ化学株式会社','ダイアジノン','ダイアジノン','40.0%',1,'殺虫剤','乳剤','1970/4/28'
10972,'展着剤','グラミンS','三井化学クロップ&ライフソリューション株式会社','ポリオキシエチレンノニルフェニルエーテル',NULL,'15.0%',1,'その他','その他','1970/5/29'
10972,'展着剤','グラミンS','三井化学クロップ&ライフソリューション株式会社','ポリナフチルメタンスルホン酸ナトリウム',NULL,'4.0%',1,'その他','その他','1970/5/29'
10972,'展着剤','グラミンS','三井化学クロップ&ライフソリューション株式会社','ポリオキシエチレン脂肪酸エステル',NULL,'5.0%',1,'その他','その他','1970/5/29'
11005,'クマリン系粉末','チューモア「コンク」','株式会社タニサケ','クマリン系','クマリン系','1.0%',1,'殺そ剤','粉末','1970/6/5'
11044,'ベンチオカーブ乳剤','サターン乳剤','クミアイ化学工業株式会社','ベンチオカーブ','ベンチオカーブ','50.0%',1,'除草剤','乳剤','1970/6/27'
11188,'カルタップ粒剤','パダン粒剤4','住友化学株式会社','カルタップ','カルタップ','4.0%',1,'殺虫剤','粒剤','1970/9/26'
11263,'展着剤','グラスチッカー','OATアグリオ株式会社','ポリオキシエチレンドデシルエーテル',NULL,'80.0%',1,'その他','その他','1970/11/12'
11338,'DCMU水和剤','ダイロン','保土谷化学工業株式会社','DCMU','DCMU','80.0%',1,'除草剤','水和剤','1971/3/13'
11344,'MEP乳剤','住化スミチオン乳剤70','住友化学株式会社','MEP','MEP','70.0%',1,'殺虫剤','乳剤','1971/3/13'
11400,'展着剤','クサリノー10','日本農薬株式会社','ポリオキシエチレンオクチルフェニルエーテル',NULL,'10.0%',1,'その他','その他','1971/3/19'
11508,'キャプタン水和剤','サンケイオーソサイド水和剤80','サンケイ化学株式会社','キャプタン','キャプタン','80.0%',1,'殺菌剤','水和剤','1971/4/21'
11573,'チオファネートメチル水和剤','トップジンM水和剤','日本曹達株式会社','チオファネートメチル','チオファネートメチル','70.0%',1,'殺菌剤','水和剤','1971/5/1'
11574,'チオファネートメチル水和剤','クミアイトップジンM水和剤','クミアイ化学工業株式会社','チオファネートメチル','チオファネートメチル','70.0%',1,'殺菌剤','水和剤','1971/5/1'
11575,'チオファネートメチル水和剤','ホクコートップジンM水和剤','北興化学工業株式会社','チオファネートメチル','チオファネートメチル','70.0%',1,'殺菌剤','水和剤','1971/5/1'
11762,'4-CPA液剤','日産トマトトーン','日産化学株式会社','4-CPA','4-CPA','0.15%',1,'植物成長調整剤','液剤','1971/7/23'
11771,'展着剤','サントクテン40','住友化学株式会社','ポリオキシエチレンドデシルエーテル',NULL,'40.0%',1,'その他','その他','1971/7/23'
11784,'チウラム水和剤','キヒゲン','米澤化学株式会社','チウラム','チウラム','80.0%',1,'その他','水和剤','1971/7/23'
11788,'インドール酪酸粉剤','オキシベロン粉剤0.5','バイエルクロップサイエンス株式会社','インドール酪酸','インドール酪酸','0.50%',1,'植物成長調整剤','粉剤','1971/7/23'
11790,'インドール酪酸液剤','オキシベロン液剤','バイエルクロップサイエンス株式会社','インドール酪酸','インドール酪酸','0.40%',1,'植物成長調整剤','液剤','1971/7/23'
11851,'マシン油乳剤','クミアイアタックオイル','クミアイ化学工業株式会社','マシン油','マシン油','97.0%',1,'殺虫剤','乳剤','1971/9/23'
11912,'塩素酸塩粒剤','クロレートS','株式会社エス・ディー・エス バイオテック','塩素酸ナトリウム','塩素酸塩','50.0%',1,'除草剤','粒剤','1971/11/13'
11924,'MEP乳剤','サッチューコートS','米澤化学株式会社','MEP','MEP','15.0%',1,'殺虫剤','乳剤','1971/11/13'
11995,'チオファネートメチル・マンネブ水和剤','ラビライト水和剤','日本曹達株式会社','チオファネートメチル','チオファネートメチル','20.0%',2,'殺菌剤','水和剤','1972/2/19'
11995,'チオファネートメチル・マンネブ水和剤','ラビライト水和剤','日本曹達株式会社','マンネブ','マンネブ','50.0%',2,'殺菌剤','水和剤','1972/2/19'
11996,'チオファネートメチル・マンネブ水和剤','クミアイラビライト水和剤','クミアイ化学工業株式会社','チオファネートメチル','チオファネートメチル','20.0%',2,'殺菌剤','水和剤','1972/2/19'
11996,'チオファネートメチル・マンネブ水和剤','クミアイラビライト水和剤','クミアイ化学工業株式会社','マンネブ','マンネブ','50.0%',2,'殺菌剤','水和剤','1972/2/19'
12006,'アシュラム液剤','アージラン液剤','ユーピーエルジャパン合同会社','アシュラム','アシュラム','37.0%',1,'除草剤','液剤','1972/2/19'
